student_id,lo_id,action,result,timestamp
2764,T190_LO8,stay,1,2025-10-16 22:38
3610,T10_LO1,backtrack,1,2025-05-26 23:38
1781,T166_LO2,group_work,1,2025-07-18 01:30
4630,T23_LO7,stay,0,2025-09-14 21:11
9105,T150_LO8,backtrack,0,2025-09-14 16:37
2276,T94_LO3,goto,1,2025-09-19 03:28
4810,T40_LO5,backtrack,1,2025-09-14 05:38
3417,T172_LO9,revisit,0,2025-12-09 16:36
5975,T152_LO6,group_work,0,2025-04-03 11:52
8916,T178_LO2,revisit,0,2025-05-19 10:33
5038,T129_LO9,NULL,0,2025-03-13 06:21
7443,T26_LO8,goto,1,2025-09-13 12:52
8075,T73_LO8,backtrack,1,2025-06-05 23:04
4214,T110_LO3,goto,1,2025-04-25 18:04
5876,T24_LO10,backtrack,0,2025-05-06 08:01
9548,T167_LO3,backtrack,0,2025-03-23 18:49
7229,T32_LO6,revisit,0,2025-04-13 16:10
7408,T33_LO6,backtrack,1,2025-03-17 11:20
6622,T140_LO5,stay,1,2025-07-14 13:14
6586,T54_LO2,NULL,0,2025-04-23 01:04
1690,T43_LO7,goto,1,2025-04-07 03:09
1582,T4_LO3,stay,0,2025-08-24 11:28
6519,T67_LO3,revisit,0,2025-07-06 08:55
7070,T168_LO9,NULL,1,2025-12-31 13:10
5555,T166_LO3,goto,1,2025-09-28 17:37
3127,T171_LO5,goto,1,2025-10-04 17:21
1076,T90_LO6,stay,1,2025-04-10 02:07
7040,T33_LO9,group_work,1,2025-04-24 01:48
8072,T189_LO1,NULL,1,2025-02-16 12:26
8721,T17_LO10,backtrack,0,2025-09-06 21:44
2371,T130_LO10,NULL,1,2025-09-20 20:25
5522,T57_LO5,NULL,1,2025-12-02 17:18
1736,T131_LO6,goto,1,2025-09-20 01:22
8801,T78_LO10,backtrack,1,2025-04-14 12:18
5142,T159_LO8,group_work,1,2025-05-22 19:03
6688,T11_LO7,NULL,1,2025-09-05 22:55
4073,T147_LO1,backtrack,1,2025-02-16 14:18
763,T138_LO7,NULL,1,2025-02-02 03:34
3754,T98_LO2,NULL,0,2025-09-06 22:33
7805,T192_LO10,backtrack,0,2025-01-26 05:02
550,T5_LO2,backtrack,0,2025-06-28 12:27
2673,T170_LO2,NULL,0,2025-05-12 20:57
9333,T152_LO7,goto,0,2025-09-18 15:17
6741,T61_LO1,group_work,1,2025-04-30 18:07
1094,T98_LO8,stay,0,2025-11-02 11:53
6932,T61_LO8,goto,1,2025-11-09 14:23
6359,T85_LO4,group_work,0,2025-03-18 04:18
5665,T38_LO3,backtrack,0,2025-07-22 21:23
7054,T52_LO5,group_work,1,2025-10-16 08:26
4999,T153_LO7,group_work,1,2025-08-22 21:43
6618,T84_LO9,NULL,0,2025-12-07 02:01
242,T142_LO6,goto,0,2025-12-01 02:33
9787,T129_LO4,group_work,0,2025-01-27 08:31
5619,T192_LO3,group_work,1,2025-07-12 18:23
9669,T25_LO7,NULL,1,2025-10-12 02:23
2248,T68_LO5,NULL,1,2025-07-12 08:55
9568,T2_LO10,revisit,1,2025-03-09 10:26
6755,T100_LO1,goto,0,2025-01-31 02:27
1968,T189_LO6,group_work,1,2025-10-02 19:17
152,T68_LO2,revisit,0,2025-02-08 19:08
5652,T5_LO8,backtrack,1,2025-07-01 12:22
458,T76_LO4,stay,1,2025-04-18 21:16
3930,T33_LO4,revisit,1,2025-08-24 05:04
4833,T105_LO6,stay,1,2025-08-03 16:05
4251,T195_LO6,goto,1,2025-04-24 19:10
8816,T160_LO8,group_work,1,2025-06-19 05:12
1485,T178_LO8,revisit,0,2025-07-04 16:38
5223,T38_LO5,stay,1,2025-05-16 08:58
6324,T147_LO9,goto,1,2025-01-29 11:44
2773,T159_LO9,NULL,0,2025-03-15 15:03
7392,T186_LO2,NULL,0,2025-03-02 07:30
7484,T129_LO9,NULL,0,2025-01-14 10:47
265,T20_LO2,revisit,1,2025-05-07 03:23
4681,T13_LO7,group_work,0,2025-10-12 02:59
9982,T167_LO9,backtrack,0,2025-11-02 10:38
65,T37_LO6,backtrack,1,2025-03-29 08:43
155,T78_LO8,revisit,0,2025-11-07 04:16
7771,T125_LO9,backtrack,1,2025-03-11 02:36
8544,T89_LO6,revisit,1,2025-07-09 10:50
9283,T102_LO8,stay,1,2025-06-28 00:23
7702,T36_LO10,stay,1,2025-03-07 06:10
