student_id,theta,alpha,phi,s,g,tau,h
1,0.716,0.031,0.112,0.031,0.1,1.606,0.283
2,0.338,0.157,0.12,0.033,0.134,1.992,0.773
3,0.889,0.037,0.065,0.022,0.021,0.845,0.52
4,0.654,0.264,0.184,0.173,0.033,1.328,0.744
5,0.704,0.198,0.099,0.134,0.037,1.008,0.421
6,0.799,0.54,0.113,0.163,0.115,1.941,0.691
7,0.559,0.23,0.079,0.095,0.14,0.631,0.501
8,0.593,0.266,0.559,0.097,0.019,0.548,0.9
9,0.868,0.398,0.069,0.189,0.125,1.418,0.424
10,0.663,0.131,0.372,0.082,0.146,1.805,0.337
11,0.793,0.684,0.309,0.114,0.067,1.333,0.532
12,0.507,0.418,0.476,0.026,0.036,0.706,0.669
13,0.707,0.383,0.121,0.17,0.023,1.564,0.996
14,0.771,0.398,0.107,0.084,0.127,0.509,0.285
15,0.735,0.119,0.192,0.123,0.096,1.784,0.517
16,0.411,0.197,0.17,0.001,0.052,1.617,0.341
17,0.615,0.275,0.253,0.043,0.117,1.458,0.541
18,0.761,0.054,0.028,0.019,0.165,1.66,0.906
19,0.741,0.278,0.401,0.04,0.031,0.922,0.439
20,0.397,0.065,0.05,0.101,0.13,1.145,0.552
21,0.701,0.202,0.093,0.162,0.022,1.937,0.96
22,0.505,0.463,0.309,0.12,0.163,0.894,0.265
23,0.299,0.773,0.223,0.199,0.192,1.999,0.689
24,0.733,0.136,0.282,0.079,0.1,0.557,0.525
25,0.805,0.064,0.349,0.136,0.039,1.207,0.186
26,0.704,0.35,0.115,0.079,0.023,1.591,0.289
27,0.261,0.507,0.308,0.141,0.033,0.734,0.232
28,0.622,0.472,0.091,0.179,0.007,1.169,0.488
29,0.492,0.532,0.102,0.085,0.074,0.664,0.822
30,0.951,0.275,0.419,0.071,0.16,1.246,0.172
31,0.69,0.355,0.328,0.184,0.106,0.933,0.833
32,0.699,0.353,0.177,0.001,0.046,0.71,0.268
33,0.435,0.553,0.292,0.046,0.181,1.27,0.422
34,0.678,0.492,0.101,0.134,0.199,1.293,0.721
35,0.525,0.367,0.035,0.178,0.154,0.766,0.579
36,0.547,0.099,0.184,0.041,0.079,0.675,0.833
37,0.37,0.1,0.193,0.004,0.129,0.689,0.906
38,0.638,0.449,0.137,0.053,0.134,1.956,0.076
39,0.557,0.56,0.116,0.022,0.037,0.874,0.025
40,0.872,0.557,0.069,0.108,0.14,1.893,0.708
41,0.704,0.118,0.088,0.093,0.045,0.719,0.544
